zipcode,medhome,sqfthome,rent
5149,242100,0,1252
96779,662400,516,2825
43406,77300,60,888
3257,345500,172,1960
28594,356100,231,1433
43571,200400,105,1794
32443,73400,56,655
2539,766100,475,2595
70778,190900,0,1529
6254,203700,120,1508
24431,182500,120,1226
47346,91100,63,885
49011,94800,0,1011
98937,131600,121,886
53013,162700,0,1206
47638,159900,105,1119
15442,59700,46,852
46161,110400,69,1039
13425,80900,56,1043
46978,73000,48,734
62467,160300,101,1371
21160,233000,154,1601
1340,180500,117,1650
31555,146300,79,1090
95977,290700,175,1473
46216,141500,85,1252
10588,324100,233,2668
48821,164800,103,1258
95665,256500,154,1383
7803,255700,176,2044
60964,110000,0,1091
53529,240500,0,1550
46126,127600,85,1108
8202,1033400,566,4867
62097,154900,94,1227
16442,136500,94,1043
43837,85700,62,885
29439,598500,352,2553
47342,77400,52,800
3823,343400,136,2325
96785,199000,173,1214
7717,849900,456,3031
14712,181000,106,1439
20676,310600,160,1801
37863,141800,109,1064
67067,170400,110,1299
14080,159600,108,1432
73149,50500,56,702
3455,161600,109,1331
13160,117200,70,1407
38230,53800,38,796
25003,89100,52,986
28701,216700,142,1363
97443,173000,120,894
32619,116800,83,1158
44275,154200,103,1332
73527,94400,67,807
6069,375300,203,2407
54745,201900,0,1101
37142,119000,85,955
64742,132500,88,1031
14012,108200,72,1086
20675,292300,168,1893
73028,92600,69,818
46392,151300,91,1184
19507,161200,105,1236
13460,91300,59,1335
32668,181000,99,1394
11980,242500,0,2813
53956,116000,0,944
13478,103300,75,1161
98249,345500,203,1538
61012,116300,75,1276
73169,223800,106,1528
49101,134300,0,1134
38363,63100,45,815
61880,136100,104,1073
46071,137900,88,1111
29372,73800,52,818
64734,209800,122,1422
93601,270900,149,1313
33306,304000,248,1809
53960,158800,0,1124
68059,218700,103,1489
95570,352300,0,1419
48822,170300,107,1286
61448,91700,0,1159
92382,175300,143,1139
1068,250800,139,1621
18326,109800,73,1196
10963,189600,130,1537
97499,110400,88,799
52340,184500,122,1477
13332,88700,57,1302
47032,107200,73,904
47338,69300,46,699
98051,385800,199,2075
33946,428900,255,2815
43945,55400,45,756
16023,172500,0,1453
28098,104400,74,909
98295,220300,127,1256
14781,79500,50,935
18077,268600,163,1620
37873,105800,70,892
49403,160000,0,1244
6426,421100,210,2121
47345,72200,53,765
10524,408800,241,2631
13110,153200,105,1377
21036,632700,229,2986
18211,194800,107,1118
13862,106600,70,1165
68073,127300,104,1191
15531,92300,63,978
53002,216000,0,1642
80642,329300,177,1558
12546,214800,150,1671
48892,152100,102,1154
20779,358500,229,1951
76233,115500,76,1132
7077,256000,190,1931
17360,196200,112,1367
80814,230900,124,1392
17922,157000,101,1085
19031,317800,172,1988
27837,140400,91,1138
80925,233900,109,1416
64747,133200,92,1000
80019,240800,142,1674
17929,81300,52,859
30757,106700,79,949
49246,148000,88,1214
94599,757500,546,3151
53020,200500,0,1216
1128,164800,133,1448
14770,70100,48,1346
46068,119100,67,1105
34737,230800,110,1473
13156,92500,63,1330
30220,105000,79,942
49344,152700,118,1148
53153,243900,128,1732
52045,161500,103,1260
27283,128200,92,943
52755,157500,113,1286
10968,620800,338,2722
12962,135700,91,1626
21623,218700,126,1584
24421,185100,122,1227
13459,75600,57,1333
55084,160300,131,1322
1375,282500,153,1962
12143,152900,110,1492
32949,309800,142,1856
97360,133600,108,1014
55768,94400,101,857
7014,294400,207,1890
11732,610200,319,3226
41059,129200,92,1130
30527,156700,99,1226
12979,118900,85,1555
46974,90900,59,919
17830,120200,0,1104
78725,145900,102,1342
41007,148300,102,1149
62216,157400,103,1330
73131,261700,107,1869
46349,132800,89,1141
89510,413700,205,1684
97022,326400,210,1793
49326,122800,85,1087
44510,28400,23,508
97463,118000,98,886
14847,114000,74,1402
20634,237100,137,1519
15323,126600,89,1021
20117,588800,266,2406
17034,90600,64,964
56750,85700,0,1076
52206,214500,0,1352
45869,150300,92,1223
35747,132900,78,1008
28768,222100,117,1250
74469,59900,54,746
5673,332900,0,1734
12764,149600,108,1260
76655,174100,92,1425
21757,251900,157,1658
79545,93500,48,1093
5765,129300,0,1356
76559,126500,0,1089
54028,188500,0,1332
1266,374900,204,1787
73104,179800,67,1043
29643,168000,117,1111
80530,248200,167,1638
2108,1053400,1054,3022
44608,106600,76,882
14550,80700,53,1296
37144,102600,68,947
6752,458000,218,2596
28582,201400,105,1193
95685,308100,177,1469
38222,136200,87,1079
25315,70800,0,875
28673,246300,139,1151
32694,124000,75,1102
49094,81700,0,902
95458,140200,126,1103
28159,81600,53,831
66211,435800,139,2227
8752,439400,353,1697
36572,136300,81,1091
61755,155400,99,1246
3237,191500,113,1277
10926,160700,122,1491
38251,86100,59,877
49051,148400,0,1296
3582,68800,58,1009
35042,110000,65,1057
72952,126000,78,888
17965,61400,40,692
80816,193700,123,1264
47990,78700,56,840
80640,302400,161,1921
15423,108000,77,850
44440,104900,69,866
15034,63800,58,799
53049,170800,0,814
5032,181500,0,1435
5489,305800,0,1766
14105,96000,66,991
44473,105200,73,820
80103,268500,164,1819
92397,250800,187,1380
19529,224100,124,1355
76534,150100,92,1002
33876,106800,64,871
5251,389500,0,2603
10537,183100,160,1741
1431,232100,139,2002
49272,133400,0,990
62001,128900,85,1133
53011,146800,0,1125
24088,124700,92,1069
20759,605500,211,3124
43155,125800,85,1122
97004,390600,215,1936
38256,84800,71,871
