renters_id,disasterNumber,state,county,zipCode,validRegistrations,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants
23177,1651,OH,Lucas (County),43615,76,65,0,0,0,26,0,9697,31442,26,0,0,0
23178,1651,OH,Sandusky (County),43469,1,0,0,0,0,0,0,0,0,0,0,0,0
23179,1651,OH,Stark (County),44643,1,1,0,0,0,0,0,0,0,0,0,0,0
23180,1653,NJ,Mercer (County),8525,1,1,0,0,0,0,0,0,0,0,0,0,0
23181,1656,OH,Ashtabula (County),44030,2,2,0,0,0,1,0,0,1448,1,0,0,0
23182,1656,OH,Geauga (County),44072,1,1,0,0,0,1,0,0,1048,1,0,0,0
23183,1656,OH,Lake (County),44077,391,362,0,0,0,228,0,132772,423548,220,8,0,0
23184,1658,TX,El Paso (County),79901,31,29,0,0,0,22,0,8036,18307,22,0,0,0
23185,1658,TX,El Paso (County),79838,2,2,0,0,0,0,0,0,0,0,0,0,0
23186,1658,TX,El Paso (County),79925,14,11,0,0,0,2,0,1037,787,2,0,0,0
23187,1659,NM,Dona Ana (County),87937,170,161,0,0,0,124,0,57682,407705,116,8,0,0
23188,1659,NM,Otero (County),88342,2,2,0,0,0,0,0,0,0,0,0,0,0
23189,1659,NM,Dona Ana (County),87941,3,3,0,0,0,1,0,503,5211,1,0,0,0
23190,1662,IN,Lake (County),46408,81,78,0,0,0,51,0,21447,35354,51,0,0,0
23191,1662,IN,Lake (County),46375,4,3,0,0,0,2,0,619,2077,2,0,0,0
23192,1664,HI,Hawaii (County),96719,6,5,0,0,0,2,0,2011,0,2,0,0,0
23193,1664,HI,Hawaii (County),96783,1,1,0,0,0,1,0,0,136,1,0,0,0
23194,1664,HI,Hawaii (County),96749,7,7,0,0,0,1,0,0,175,1,0,0,0
23195,1665,NY,Erie (County),14212,23,13,0,0,0,5,0,762,2518,5,0,0,0
23196,1665,NY,Erie (County),14026,2,2,0,0,0,1,0,0,750,1,0,0,0
23197,1665,NY,Erie (County),14222,35,10,0,0,0,7,0,2061,1748,7,0,0,0
23198,1665,NY,Niagara (County),14001,1,1,0,0,0,1,0,513,0,1,0,0,0
23199,1668,LA,Jefferson Davis (Parish),70549,1,1,0,0,0,0,0,0,0,0,0,0,0
23200,1670,NY,Broome (County),13901,14,12,0,0,0,10,0,2108,12316,10,0,0,0
23201,1665,NY,Erie (County),14206,1,0,0,0,0,1,0,0,700,1,0,0,0
23202,1668,LA,Franklin (Parish),71378,1,1,0,0,0,0,0,0,0,0,0,0,0
23203,1668,LA,St. Landry (Parish),70577,6,6,0,0,0,3,0,781,721,3,0,0,0
23204,1665,NY,Erie (County),14072,7,4,0,0,0,0,0,0,0,0,0,0,0
23205,1668,LA,Calcasieu (Parish),70647,1,1,0,0,0,1,0,0,459,1,0,0,0
23206,1668,LA,Sabine (Parish),71449,3,3,0,0,0,1,0,0,823,1,0,0,0
23207,1671,WA,Grays Harbor (County),98520,1,1,0,0,0,0,0,0,0,0,0,0,0
23208,1665,NY,Erie (County),14127,22,7,0,0,0,5,0,1556,1838,5,0,0,0
23209,1668,LA,Calcasieu (Parish),70663,22,18,0,0,0,7,0,3446,11247,7,0,0,0
23210,1668,LA,St. Landry (Parish),70525,2,2,0,0,0,2,0,934,4889,2,0,0,0
23211,1671,WA,King (County),98005,2,1,0,0,0,0,0,0,0,0,0,0,0
23212,1671,WA,King (County),98034,1,1,0,0,0,0,0,0,0,0,0,0,0
23213,1671,WA,Pierce (County),98402,1,1,0,0,0,1,0,0,550,1,0,0,0
23214,1665,NY,Erie (County),14227,47,20,0,0,0,10,0,1891,8498,10,0,0,0
23215,1665,NY,Orleans (County),14103,5,0,0,0,0,1,0,0,700,1,0,0,0
23216,1668,LA,Natchitoches (Parish),71414,1,1,0,0,0,1,0,0,735,1,0,0,0
23217,1670,NY,Broome (County),13850,8,8,0,0,0,7,0,3032,13211,7,0,0,0
23218,1671,WA,King (County),98102,1,1,0,0,0,1,0,1420,0,1,0,0,0
23219,1671,WA,Skagit (County),98237,10,10,0,0,0,5,0,7043,5177,5,0,0,0
23220,1679,FL,Lake (County),34731,2,2,0,0,0,1,0,0,875,1,0,0,0
23221,1650,NY,Chenango (County),13809,1,1,0,0,0,0,0,0,0,0,0,0,0
23222,1671,WA,King (County),98178,3,3,0,0,0,3,0,2414,1455,3,0,0,0
23223,1671,WA,Snohomish (County),98205,1,1,0,0,0,0,0,0,0,0,0,0,0
23224,1650,NY,Broome (County),13903,148,131,0,0,0,103,10900,47668,387570,96,7,0,0
23225,1650,NY,Delaware (County),13754,22,21,0,0,0,15,0,4924,15957,15,0,0,0
23226,1671,WA,Pierce (County),98498,2,2,0,0,0,0,0,0,0,0,0,0,0
23227,1671,WA,Thurston (County),98512,2,2,0,0,0,0,0,0,0,0,0,0,0
23228,1650,NY,Chenango (County),13730,37,35,0,0,0,25,0,11822,74792,25,0,0,0
23229,1671,WA,Lewis (County),98361,9,9,0,0,0,6,0,6272,7439,6,0,0,0
23230,1671,WA,Snohomish (County),98290,7,6,0,0,0,5,0,8094,18152,5,0,0,0
23231,1650,NY,Broome (County),13787,14,12,0,0,0,7,0,3845,22185,7,0,0,0
23232,1650,NY,Delaware (County),12776,2,2,0,0,0,1,0,1584,0,1,0,0,0
23233,1650,NY,Otsego (County),13838,2,2,0,0,0,1,0,483,0,1,0,0,0
23234,1650,NY,Montgomery (County),12068,14,14,0,0,0,12,0,5465,15487,12,0,0,0
23235,1650,NY,Sullivan (County),12764,3,2,0,0,0,1,0,694,10196,0,1,0,0
23236,1650,NY,Otsego (County),13808,1,1,0,0,0,0,0,0,0,0,0,0,0
23237,1650,NY,Ulster (County),12481,1,1,0,0,0,1,0,0,2793,1,0,0,0
23238,1679,FL,Seminole (County),32773,2,2,0,0,0,0,0,0,0,0,0,0,0
23239,1650,NY,Chenango (County),12791,1,1,0,0,0,0,0,0,0,0,0,0,0
23240,1651,OH,Cuyahoga (County),44112,4,4,0,0,0,1,0,0,225,1,0,0,0
23241,1651,OH,Cuyahoga (County),44124,1,1,0,0,0,0,0,0,0,0,0,0,0
23242,1651,OH,Cuyahoga (County),44118,2,2,0,0,0,0,0,0,0,0,0,0,0
23243,1651,OH,Cuyahoga (County),44022,2,2,0,0,0,2,0,1718,1099,2,0,0,0
23244,1651,OH,Cuyahoga (County),44131,5,4,0,0,0,1,0,517,0,1,0,0,0
23245,1650,NY,Herkimer (County),13361,1,1,0,0,0,0,0,0,0,0,0,0,0
23246,1650,NY,Sullivan (County),12723,2,1,0,0,0,1,0,541,0,1,0,0,0
23247,1651,OH,Cuyahoga (County),44111,27,24,0,0,0,2,0,1478,577,2,0,0,0
23248,1651,OH,Cuyahoga (County),44130,1,1,0,0,0,0,0,0,0,0,0,0,0
23249,1651,OH,Huron (County),44890,1,0,0,0,0,0,0,0,0,0,0,0,0
23250,1650,NY,Oneida (County),13502,3,3,0,0,0,1,0,0,5000,1,0,0,0
23251,1651,OH,Lucas (County),43607,327,313,0,0,0,130,0,29833,71690,130,0,0,0
23252,1651,OH,Lucas (County),43620,79,77,0,0,0,37,0,8833,32097,37,0,0,0
23253,1650,NY,Tioga (County),14859,1,1,0,0,0,1,0,713,0,1,0,0,0
23254,1651,OH,Cuyahoga (County),44198,2,2,0,0,0,1,0,0,450,1,0,0,0
23255,1651,OH,Erie (County),44839,3,3,0,0,0,1,0,580,1693,1,0,0,0
23256,1651,OH,Stark (County),44613,12,8,0,0,0,2,0,0,740,2,0,0,0
23257,1651,OH,Stark (County),44662,3,3,0,0,0,0,0,0,0,0,0,0,0
23258,1653,NJ,Mercer (County),8618,57,47,0,0,0,24,0,23999,52998,22,2,0,0
23259,1656,OH,Ashtabula (County),44047,3,2,0,0,0,0,0,0,0,0,0,0,0
23260,1656,OH,Lake (County),44077,2,2,0,0,0,0,0,0,0,0,0,0,0
23261,1659,NM,Dona Ana (County),88044,1,1,0,0,0,0,0,0,0,0,0,0,0
23262,1664,HI,Hawaii (County),96725,7,7,0,0,0,2,0,874,276,2,0,0,0
23263,1665,NY,Erie (County),14224,17,7,0,0,0,2,0,0,1585,2,0,0,0
23264,1656,OH,Lake (County),44095,1,1,0,0,0,0,0,0,0,0,0,0,0
23265,1659,NM,Dona Ana (County),88063,11,10,0,0,0,4,0,2124,234,4,0,0,0
23266,1664,HI,Hawaii (County),96760,2,2,0,0,0,1,0,0,350,1,0,0,0
23267,1665,NY,Erie (County),14032,6,2,0,0,0,0,0,0,0,0,0,0,0
23268,1658,TX,El Paso (County),79928,5,3,0,0,0,1,0,0,221,1,0,0,0
23269,1662,IN,Lake (County),46319,29,26,0,0,0,16,0,8816,48185,16,0,0,0
23270,1665,NY,Erie (County),14202,5,2,0,0,0,0,0,0,0,0,0,0,0
23271,1665,NY,Erie (County),14226,8,2,0,0,0,2,0,0,1373,2,0,0,0
23272,1658,TX,El Paso (County),79927,12,8,0,0,0,2,0,1373,664,2,0,0,0
23273,1662,IN,Vanderburgh (County),47711,8,8,0,0,0,1,0,450,0,1,0,0,0
